gender,race,population_counts,Year,incident_year,Allegationcounts,ratio,New_ratio
F,Black,715,2017,2017,93,0.13006993,0.86993007
F,Hispanic,412,2017,2017,66,0.160194175,0.839805825
F,Native American/Alaskan Native,6,2017,2017,1,0.166666667,0.833333333
F,Unknown,1,2017,2017,1,1,0
F,White,839,2017,2017,122,0.145411204,0.854588796
M,Asian/Pacific,259,2017,2017,53,0.204633205,0.795366795
M,Black,1566,2017,2017,371,0.236909323,0.763090677
M,Hispanic,1849,2017,2017,467,0.252568956,0.747431044
M,Native American/Alaskan Native,26,2017,2017,1,0.038461538,0.961538462
M,Unknown,3,2017,2017,3,1,0
M,White,4229,2017,2017,836,0.197682667,0.802317333
